,state,votespercap,difffair,diffwyoming
0,Alabama,1.8522409749043987e-06,10.65894210212294,-63.81295329739026
1,Alaska,4.0626625065002604e-06,142.7167637356052,-20.628168876755062
2,Arizona,1.610998137832607e-06,-3.753695077257647,-68.52609048097814
3,Arkansas,2.0146370094190997e-06,20.36101306613678,-60.64023821067999
4,California,1.4050391037710278e-06,-16.05836230707411,-72.5498915335358
5,Colorado,1.6493865931260165e-06,-1.460243032270575,-67.77609906875634
6,Connecticut,1.949379623858847e-06,16.462323128764773,-61.91516522663209
7,Delaware,3.1714686225466047e-06,89.47392236541916,-38.03933466816924
8,District of Columbia,4.462771559649405e-06,166.620588965069,-12.811278316285545
9,Florida,1.4305959685213637e-06,-14.531511505781811,-72.05058962259497
10,Georgia,1.566345500574653e-06,-6.421389868584708,-69.39846458982306
11,Hawaii,2.794070702562093e-06,66.92693461228232,-45.412520091114644
12,Idaho,2.417020659484087e-06,44.40073016486933,-52.77890907772534
13,Illinois,1.5552105580134362e-06,-7.086627805163535,-69.6160068491473
14,Indiana,1.6617117443743504e-06,-0.7238981306793091,-67.53530382133275
15,Iowa,1.9206766928124116e-06,14.747516023283973,-62.4759315201932
16,Kansas,2.0606936088618066e-06,23.112585156487622,-59.740435033027765
17,Kentucky,1.8078720171241637e-06,8.008195251871463,-64.67978518864692
18,Louisiana,1.712796560019389e-06,2.3280760634741915,-66.53726488655721
19,Maine,3.009039153617467e-06,79.76985391998606,-41.21270295969091
20,Maryland,1.6648905059785385e-06,-0.5339885017054322,-67.47320067374788
21,Massachusetts,1.6189750945702225e-06,-3.2771255564778237,-68.37024547489102
22,Michigan,1.6124844999927438e-06,-3.664894933836859,-68.49705157209176
23,Minnesota,1.8216283389992047e-06,8.830042973919019,-64.41102930380644
24,Mississippi,2.00512442966742e-06,19.792700397188685,-60.826084530030585
25,Missouri,1.6437441071773757e-06,-1.7973436225082495,-67.88633575248633
26,Montana,2.904306020916812e-06,73.51275356170576,-43.25886369995033
27,Nebraska,2.636866558730929e-06,57.535044201627485,-48.483801728729716
28,Nevada,2.0755177119492743e-06,23.99822562524826,-59.45081801341822
29,New Hampshire,3.0061445594795764e-06,79.59692138612365,-41.26925435590346
30,New Jersey,1.562846582160575e-06,-6.630426713924708,-69.46682260898706
31,New Mexico,2.3979561739937817e-06,43.26175536371672,-53.15137002430089
32,New York,1.4649578791774474e-06,-12.478618424736489,-71.37926441029813
33,North Carolina,1.4936070630487388e-06,-10.7670223515258,-70.81954816992311
34,North Dakota,3.963394092164766e-06,136.78614354992013,-22.567565960786183
35,Ohio,1.5499306276883225e-06,-7.402068135048342,-69.71916031991601
36,Oklahoma,1.7896689061390246e-06,6.92068178473904,-65.03541754765249
37,Oregon,1.7374137405103083e-06,3.7987870495556626,-66.05632149302416
38,Pennsylvania,1.562194517743913e-06,-6.669383177747666,-69.47956192628895
39,Rhode Island,3.7868101615263876e-06,126.2364412047994,-26.01746855527512
40,South Carolina,1.8381804790951905e-06,9.818922033050326,-64.08765179796517
41,South Dakota,3.4945932817609025e-06,108.7784477701704,-31.726480513565427
42,Tennessee,1.6665911650366142e-06,-0.43238555975952525,-67.43997506779617
43,Texas,1.3833718845099992e-06,-17.352832947884718,-72.9732018295166
44,Utah,2.0027243727216926e-06,19.649313134841375,-60.87297420257356
45,Vermont,4.792010759661493e-06,186.29041706276962,-6.378964989569384
46,Virginia,1.5507587803067473e-06,-7.352591585346853,-69.7029807850251
47,Washington,1.673558240035948e-06,-0.016149681481203475,-67.3038600202417
48,West Virginia,2.7113085425740512e-06,61.98245212083109,-47.02943613458502
49,Wisconsin,1.7327007589402595e-06,3.5172180951082934,-66.14839854266005
50,Wyoming,5.118519314732634e-06,205.79710748858213,0.0
